ord,request,window,request_in_window,kind,campaign_id,bid_value
0,0,144,0,bid,1,10
1,0,144,0,bid,2,11
2,0,144,0,win,2,10
3,1,145,0,bid,1,10
4,1,145,0,bid,2,11
5,1,145,0,win,2,10
6,2,146,0,bid,1,10
7,2,146,0,bid,2,11
8,2,146,0,win,2,10
9,3,147,0,bid,1,10
10,3,147,0,bid,2,11
11,3,147,0,win,2,10
12,4,148,0,bid,1,10
13,4,148,0,bid,2,11
14,4,148,0,win,2,10
15,5,149,0,bid,1,10
16,5,149,0,bid,2,11
17,5,149,0,win,2,10
18,6,150,0,bid,1,10
19,6,150,0,bid,2,11
20,6,150,0,win,2,10
21,7,151,0,bid,1,10
22,7,151,0,bid,2,11
23,7,151,0,win,2,10
24,8,152,0,bid,1,10
25,8,152,0,bid,2,11
26,8,152,0,win,2,10
27,9,153,0,bid,1,10
28,9,153,0,bid,2,11
29,9,153,0,win,2,10
30,10,154,0,bid,1,10
31,10,154,0,bid,2,11
32,10,154,0,win,2,10
33,11,155,0,bid,1,10
34,11,155,0,bid,2,11
35,11,155,0,win,2,10
36,12,156,0,bid,1,10
37,12,156,0,bid,2,11
38,12,156,0,win,2,10
39,13,157,0,bid,1,10
40,13,157,0,bid,2,11
41,13,157,0,win,2,10
42,14,158,0,bid,1,10
43,14,158,0,bid,2,11
44,14,158,0,win,2,10
45,15,159,0,bid,1,10
46,15,159,0,bid,2,11
47,15,159,0,win,2,10
48,16,160,0,bid,1,10
49,16,160,0,bid,2,11
50,16,160,0,win,2,10
51,17,161,0,bid,1,10
52,17,161,0,bid,2,11
53,17,161,0,win,2,10
54,18,162,0,bid,1,10
55,18,162,0,bid,2,11
56,18,162,0,win,2,10
57,19,163,0,bid,1,10
58,19,163,0,bid,2,11
59,19,163,0,win,2,10
60,20,164,0,bid,1,10
61,20,164,0,bid,2,11
62,20,164,0,win,2,10
63,21,165,0,bid,1,10
64,21,165,0,bid,2,11
65,21,165,0,win,2,10
66,22,166,0,bid,1,10
67,22,166,0,bid,2,11
68,22,166,0,win,2,10
69,23,167,0,bid,1,10
70,23,167,0,bid,2,11
71,23,167,0,win,2,10
72,24,168,0,bid,1,10
73,24,168,0,bid,2,11
74,24,168,0,win,2,10
75,25,169,0,bid,1,10
76,25,169,0,bid,2,11
77,25,169,0,win,2,10
78,26,170,0,bid,1,10
79,26,170,0,bid,2,11
80,26,170,0,win,2,10
81,27,171,0,bid,1,10
82,27,171,0,bid,2,11
83,27,171,0,win,2,10
84,28,172,0,bid,1,10
85,28,172,0,bid,2,11
86,28,172,0,win,2,10
87,29,173,0,bid,1,10
88,29,173,0,bid,2,11
89,29,173,0,win,2,10
90,30,174,0,bid,1,10
91,30,174,0,bid,2,11
92,30,174,0,win,2,10
93,31,175,0,bid,1,10
94,31,175,0,bid,2,11
95,31,175,0,win,2,10
96,32,176,0,bid,1,10
97,32,176,0,bid,2,11
98,32,176,0,win,2,10
99,33,177,0,bid,1,10
100,33,177,0,bid,2,11
101,33,177,0,win,2,10
102,34,178,0,bid,1,10
103,34,178,0,bid,2,11
104,34,178,0,win,2,10
105,35,179,0,bid,1,10
106,35,179,0,bid,2,11
107,35,179,0,win,2,10
108,36,180,0,bid,1,10
109,36,180,0,bid,2,11
110,36,180,0,win,2,10
111,37,181,0,bid,1,10
112,37,181,0,bid,2,11
113,37,181,0,win,2,10
114,38,182,0,bid,1,10
115,38,182,0,bid,2,11
116,38,182,0,win,2,10
117,39,183,0,bid,1,10
118,39,183,0,bid,2,11
119,39,183,0,win,2,10
120,40,184,0,bid,1,10
121,40,184,0,bid,2,11
122,40,184,0,win,2,10
123,41,185,0,bid,1,10
124,41,185,0,bid,2,11
125,41,185,0,win,2,10
126,42,186,0,bid,1,10
127,42,186,0,bid,2,11
128,42,186,0,win,2,10
129,43,187,0,bid,1,10
130,43,187,0,bid,2,11
131,43,187,0,win,2,10
132,44,188,0,bid,1,10
133,44,188,0,bid,2,11
134,44,188,0,win,2,10
135,45,189,0,bid,1,10
136,45,189,0,bid,2,11
137,45,189,0,win,2,10
138,46,190,0,bid,1,10
139,46,190,0,bid,2,11
